object_id	latitude	longitude	name_ru	name_en	category	wiki_ru	wiki_en	address	image_url
1806	55.43354276087396	36.9691458060487	Памятник Кириллу и Мефодию	Monument to Cyril and Methodius	monument	https://ru.wikipedia.org/wiki/%D0%9A%D0%B8%D1%80%D0%B8%D0%BB%D0%BB_%D0%B8_%D0%9C%D0%B5%D1%84%D0%BE%D0%B4%D0%B8%D0%B9	https://en.wikipedia.org/wiki/Saints_Cyril_and_Methodius	Недалеко от Славянской площади	http://www.pravmir.ru/wp-content/uploads/2013/05/235.jpg
1807	55.75393000000008	37.61460000000005	Памятник Патриарху Гермогену	Monument to Patriarch Hermogen	monument	https://ru.wikipedia.org/wiki/%D0%9F%D0%B0%D0%BC%D1%8F%D1%82%D0%BD%D0%B8%D0%BA_%D0%BF%D0%B0%D1%82%D1%80%D0%B8%D0%B0%D1%80%D1%85%D1%83_%D0%93%D0%B5%D1%80%D0%BC%D0%BE%D0%B3%D0%B5%D0%BD%D1%83		Александровский сад	https://um.mos.ru/upload/resize_cache/iblock/6de/640_640_1/2014-01-01 05.21.53.jpg
1808	55.71121000000005	37.56191000000007	Памятник Альпинистам	Monument to the mountaineers	monument	https://ru.wikipedia.org/wiki/%D0%A7%D1%91%D1%80%D0%BD%D1%8B%D0%B9_%D0%B0%D0%BB%D1%8C%D0%BF%D0%B8%D0%BD%D0%B8%D1%81%D1%82		Лужнецкая набережная, дом 24, стадион «Лужники», около восточной трибуны	
1809	55.73767999919954	37.62320002430269	Памятник Великой княгине Елизавете Фёдоровне	Monument to the Grand Duchess Elizabeth Fedorovna	monument	https://ru.wikipedia.org/wiki/%D0%95%D0%BB%D0%B8%D0%B7%D0%B0%D0%B2%D0%B5%D1%82%D0%B0_%D0%A4%D1%91%D0%B4%D0%BE%D1%80%D0%BE%D0%B2%D0%BD%D0%B0	https://en.wikipedia.org/wiki/Princess_Elisabeth_of_Hesse_and_by_Rhine_(1864%E2%80%931918)	Улица Большая Ордынка, дом 34	https://photo.russian-church.ru/8e/76/cd/89/74/1000-865-f4b3367b958a468a56826c86a7.jpg
1810	55.852416	37.482232	Памятник Венгерско-советской дружбе	Monument to the Hungarian and Soviet friendship	monument	https://ru.wikipedia.org/wiki/%D0%9F%D0%B0%D0%BC%D1%8F%D1%82%D0%BD%D0%B8%D0%BA_%D0%B2%D0%B5%D0%BD%D0%B3%D0%B5%D1%80%D1%81%D0%BA%D0%BE-%D1%81%D0%BE%D0%B2%D0%B5%D1%82%D1%81%D0%BA%D0%BE%D0%B9_%D0%B4%D1%80%D1%83%D0%B6%D0%B1%D0%B5		Ленинградское шоссе, парк Дружбы	https://upload.wikimedia.org/wikipedia/ru/thumb/a/a9/Памятник_венгеро-советской_дружбы_(Москва).jpg/274px-Памятник_венгеро-советской_дружбы_(Москва).jpg
1811	55.85245000000003	37.47363000000007	Памятник «Дети мира»	"Monument '"Children of the World'""	monument	https://ru.wikipedia.org/wiki/%D0%94%D0%B5%D1%82%D0%B8_%D0%BC%D0%B8%D1%80%D0%B0		Парк Дружбы	https://smorodina.com/uploads/image/image/98743/________-4.jpg
1813	55.6545100201175	37.5745200261355	Памятник Каховка	Monument Kakhovka.	monument	https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%85%D0%BE%D0%B2%D0%BA%D0%B0	https://en.wikipedia.org/wiki/Kakhovka	Улица Каховка, дом 23	https://img.pyxi.pro/full/ESH2I9oTK5S0bQodURwIguDbr8WUN4-i.jpg
1814	55.70592363322304	37.55514572977535	Памятник Мальчишу-Кибальчишу	Monument to Cybalchish	monument	https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%BB%D1%8C%D1%87%D0%B8%D1%88-%D0%9A%D0%B8%D0%B1%D0%B0%D0%BB%D1%8C%D1%87%D0%B8%D1%88		Улица Косыгина, 17	https://mos-holidays.ru/wp-content/gallery/neobychnye-pamyatniki-moskvy/pamyatnik-malchishu-kibalchishu1.jpg
1815	55.76094117949627	37.80096235400502	Памятник Металлургам	Monument to metallurgum	monument	https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D1%82%D0%B0%D0%BB%D0%BB%D1%83%D1%80%D0%B3%D0%B8%D1%8F	https://en.wikipedia.org/wiki/Metallurgy	Улица Металлургов	https://um.mos.ru/upload/resize_cache/iblock/a8b/640_640_1/04_037_Металлурги.jpg
1816	55.72663003146957	37.56003509161995	Памятник «Миру — мир!»	"Monument '"Mire - World!'""	monument	https://ru.wikipedia.org/wiki/%D0%9C%D0%B8%D1%80_(%D1%82%D0%B5%D0%BB%D0%B5%D1%80%D0%B0%D0%B4%D0%B8%D0%BE%D0%BA%D0%BE%D0%BC%D0%BF%D0%B0%D0%BD%D0%B8%D1%8F)	https://en.wikipedia.org/wiki/Mir_(television_company)	Площадь Новодевичьего монастыря	http://foretime.ru/wp-content/uploads/2014/01/novodevichij-monastyr.jpg
